,Cumulative Return,Average Daily Return,Std Daily Return,Sharpe Ratio,Final Value
ManualStrategy,0.38879300000000105,0.0007308033780463384,0.012588864349899248,0.9215401525612622,138879.3000000001
StrategyLearner,0.2699290000000074,0.0004966034505550428,0.006713016880585801,1.1743357007055966,126992.90000000075
Benchmark,0.010236207848477452,0.00016466004720283722,0.017041225678409398,0.15338669083602915,100819.25
