impact,n_trades,cum_return,sharpe,avg_daily_return,std_daily_return,final_value
0.0,89,0.37870000000000004,2.890680421950124,0.0006435717643168065,0.003534249223004676,137870.0
0.005,109,0.24442900000000223,1.8802248128365966,0.0004408404561628873,0.0037219619916737104,124442.90000000023
0.02,101,-0.47165400000000024,-3.9895098872752723,-0.001252602669410696,0.004984183894979308,52834.59999999998
